N,T,nvars,seed,BF_cost,BF_time,SA_cost,SA_time,SA_abs_gap,SA_optimal,QAOA1_cost,QAOA1_time,QAOA1_err,QAOA1_abs_gap,QAOA1_optimal,QAOA2_cost,QAOA2_time,QAOA2_err,QAOA2_abs_gap,QAOA2_optimal,QAOA3_cost,QAOA3_time,QAOA3_err,QAOA3_abs_gap,QAOA3_optimal
6,3,18,200,0.0,1.719099760055542,0.0,0.03118109703063965,0.0,True,27.999358279586687,149.26534986495972,,27.999358279586687,False,,,,,,,,,,
8,3,24,42,0.0,124.17185163497925,0.0,0.04688715934753418,0.0,True,,,,,,,,,,,,,,,
8,3,24,7,0.0,124.01573038101196,0.0,0.04670572280883789,0.0,True,,,,,,,,,,,,,,,
8,3,24,1234,0.0,124.81250786781311,0.0,0.04684901237487793,0.0,True,,,,,,,,,,,,,,,
8,3,24,100,0.0,125.71891331672668,0.0,0.03943514823913574,0.0,True,,,,,,,,,,,,,,,
8,3,24,200,0.0,117.83579063415527,0.0,0.04691028594970703,0.0,True,,,,,,,,,,,,,,,
10,4,40,42,,,0.0,0.07805705070495605,,False,,,,,,,,,,,,,,,
10,4,40,7,,,0.0,0.09368634223937988,,False,,,,,,,,,,,,,,,
10,4,40,1234,,,0.0,0.0937345027923584,,False,,,,,,,,,,,,,,,
10,4,40,100,,,0.0,0.07813143730163574,,False,,,,,,,,,,,,,,,
10,4,40,200,,,0.0,0.07811927795410156,,False,,,,,,,,,,,,,,,
