size,N,D,E,seed,nv,solver,obj,makespan,feasible,violations,wall_clock_s,skipped,n_assignments,skip_reason
Small,5,1,5,1234,225,SA,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.018024682998657227,False,5.0,
Small,5,1,5,1234,225,TS,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.22902774810791016,False,5.0,
Small,5,1,5,1234,225,QA_neal,1010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",5.385846376419067,False,5.0,
Small,5,1,5,1234,225,SBM,2010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 2}",0.020978450775146484,False,5.0,
Small,5,1,5,1234,225,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,5,100,225,Greedy,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Small,5,1,5,100,225,GA,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.20302820205688477,False,5.0,
Small,5,1,5,100,225,SA,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.024004220962524414,False,5.0,
Small,5,1,5,100,225,TS,2.0,2.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.20996928215026855,False,5.0,
Small,5,1,5,100,225,QA_neal,5010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 3}",5.399259090423584,False,5.0,
Small,5,1,5,100,225,SBM,2010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 1}",0.018976211547851562,False,5.0,
Small,5,1,5,100,225,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
